;Winner;Turns;Win_rate
84956;Magdalena;86;0.5130595477712254
84957;Bernhard;38;0.5130652793144848
84958;Bernhard;37;0.5130710107228192
84959;Magdalena;17;0.5130649717514124
84960;Bernhard;53;0.5130707030284484
84961;Magdalena;9;0.51306466420282
84962;Bernhard;29;0.5130703953485635
84963;Bernhard;42;0.5130761263593993
84964;Bernhard;9;0.5130818572353322
84965;Magdalena;33;0.5130758185627192
84966;Bernhard;13;0.5130815493073781
84967;Magdalena;27;0.5130755107805292
84968;Magdalena;66;0.5130694723958149
84969;Magdalena;25;0.5130634341532305
84970;Magdalena;16;0.5130573960527709
84971;Bernhard;32;0.513063126677023
84972;Bernhard;39;0.513068857166394
84973;Magdalena;75;0.5130628192152894
84974;Magdalena;70;0.513056781406296
84975;Magdalena;13;0.5130507437394087
84976;Bernhard;59;0.5130564741047577
84977;Bernhard;64;0.5130622043352397
84978;Bernhard;49;0.5130679344308594
84979;Bernhard;12;0.5130736643916216
84980;Magdalena;20;0.5130676268813029
84981;Bernhard;10;0.5130733567108329
84982;Bernhard;51;0.5130790864055164
84983;Magdalena;19;0.513073049044526
84984;Magdalena;96;0.5130670118256163
84985;Magdalena;53;0.5130609747487822
84986;Bernhard;33;0.5130667043194842
84987;Magdalena;43;0.5130606673883372
84988;Bernhard;31;0.5130663968278247
84989;Magdalena;67;0.5130603600423579
84990;Bernhard;51;0.5130660893506371
84991;Bernhard;24;0.5130718185240963
84992;Magdalena;40;0.5130657818879202
84993;Magdalena;75;0.5130597453937925
84994;Bernhard;87;0.5130654744396729
84995;Magdalena;15;0.5130594380912042
84996;Magdalena;30;0.5130534018847724
84997;Bernhard;38;0.5130591308030777
84998;Magdalena;62;0.5130530947422911
84999;Magdalena;41;0.5130470588235294
85000;Magdalena;42;0.5130410230467877
85001;Bernhard;20;0.5130467518411331
85002;Magdalena;62;0.5130407162100161
85003;Magdalena;16;0.5130346807209073
85004;Bernhard;37;0.513040409387683
85005;Magdalena;11;0.5130343740441852
85006;Magdalena;14;0.5130283388426835
85007;Magdalena;19;0.5130223037831734
85008;Magdalena;58;0.5130162688656495
85009;Magdalena;51;0.513010234090107
85010;Bernhard;21;0.5130159626401289
85011;Bernhard;30;0.5130216910553804
85012;Magdalena;54;0.5130156564290167
85013;Magdalena;91;0.5130096219446209
85014;Bernhard;51;0.5130153502323119
85015;Magdalena;29;0.5130093158934789
85016;Bernhard;19;0.5130150440500135
85017;Magdalena;33;0.5130090098567363
85018;Bernhard;75;0.5130147378821205
85019;Bernhard;24;0.5130204657727594
85020;Bernhard;85;0.5130261935286576
85021;Bernhard;18;0.51303192114982
85022;Bernhard;47;0.5130376486362513
85023;Magdalena;29;0.5130316146029357
85024;Bernhard;63;0.5130373419582476
85025;Magdalena;33;0.5130313080704726
85026;Bernhard;25;0.5130370352946712
85027;Magdalena;27;0.5130310015524298
85028;Magdalena;30;0.5130249679521105
85029;Magdalena;25;0.5130189344937081
85030;Magdalena;62;0.5130129011772178
85031;Bernhard;26;0.5130186282811177
85032;Magdalena;40;0.5130125951101338
85033;Bernhard;12;0.5130183220829315
85034;Bernhard;39;0.5130240489210325
85035;Bernhard;38;0.5130297756244414
85036;Magdalena;64;0.5130237426061597
85037;Magdalena;33;0.5130177097297679
85038;Magdalena;18;0.513011676995261
85039;Bernhard;68;0.5130174035747883
85040;Magdalena;60;0.5130113709857598
85041;Bernhard;24;0.513017097434209
85042;Bernhard;49;0.5130228237479864
85043;Bernhard;24;0.5130285499270966
85044;Bernhard;33;0.5130342759715445
85045;Bernhard;20;0.5130400018813348
85046;Bernhard;39;0.5130457276564723
85047;Magdalena;63;0.5130396952309284
85048;Magdalena;42;0.5130336629472422
85049;Magdalena;43;0.5130276308054086
85050;Bernhard;51;0.5130333564567142
85051;Bernhard;50;0.513039081973381
85052;Magdalena;28;0.5130330499806003
85053;Magdalena;85;0.5130270181296588
85054;Bernhard;69;0.5130327435188995
85055;Magdalena;19;0.5130267118133935
85056;Magdalena;42;0.5130206802497149
85057;Magdalena;127;0.5130146488278586
85058;Bernhard;23;0.5130203740932764
85059;Bernhard;50;0.5130260992240772
85060;Magdalena;14;0.513020067951235
85061;Bernhard;38;0.5130257929510239
85062;Magdalena;42;0.5130197618235895
85063;Bernhard;16;0.5130254866923728
85064;Magdalena;24;0.5130194557103391
85065;Magdalena;55;0.5130134248701008
85066;Magdalena;30;0.513007394171653
85067;Bernhard;90;0.5130131189166314
85068;Magdalena;30;0.5130070883635637
85069;Bernhard;22;0.5130128129775479
85070;Bernhard;13;0.5130185374569477
85071;Magdalena;23;0.5130125070528494
85072;Magdalena;42;0.513006476790521
85073;Magdalena;37;0.5130004466699579
85074;Magdalena;20;0.5129944166911549
85075;Magdalena;19;0.512988386854107
85076;Bernhard;79;0.5129941112168976
85077;Magdalena;19;0.5129880815251886
85078;Bernhard;39;0.5129938057570023
85079;Magdalena;13;0.5129877762106253
85080;Bernhard;29;0.5129935003114678
85081;Magdalena;13;0.5129874709104159
85082;Magdalena;20;0.5129814416510936
85083;Magdalena;9;0.5129754125334963
85084;Bernhard;57;0.5129811365105483
85085;Magdalena;83;0.5129751075382554
85086;Magdalena;46;0.5129690787076757
85087;Magdalena;23;0.512963050018804
85088;Magdalena;14;0.5129570214716356
85089;Magdalena;53;0.5129509930661652
85090;Magdalena;18;0.512944964802388
85091;Bernhard;152;0.5129506886663846
85092;Magdalena;22;0.5129446605478711
85093;Bernhard;150;0.5129503842809129
85094;Bernhard;47;0.5129561078794289
85095;Bernhard;22;0.5129618313434239
85096;Bernhard;35;0.5129675546729027
85097;Magdalena;45;0.512961526710381
85098;Bernhard;21;0.5129672499089296
85099;Magdalena;51;0.5129612220916568
85100;Bernhard;35;0.5129669451592813
85101;Magdalena;43;0.5129609174872506
85102;Magdalena;118;0.5129548899568758
85103;Magdalena;19;0.5129488625681519
85104;Magdalena;24;0.512942835321074
85105;Bernhard;30;0.5129485582685122
85106;Bernhard;17;0.5129542810814621
85107;Bernhard;38;0.5129600037599286
85108;Bernhard;59;0.5129657263039161
85109;Bernhard;60;0.5129714487134297
85110;Magdalena;24;0.5129654216258768
85111;Bernhard;14;0.5129711439045023
85112;Magdalena;24;0.5129651169621562
85113;Magdalena;35;0.5129590901614306
85114;Bernhard;63;0.5129648123127534
85115;Bernhard;46;0.5129705343296207
85116;Bernhard;31;0.5129762562120376
85117;Bernhard;98;0.5129819779600084
85118;Bernhard;65;0.5129876995735382
85119;Magdalena;17;0.5129816729323309
85120;Bernhard;27;0.5129873944150092
85121;Bernhard;30;0.5129931157632575
85122;Bernhard;143;0.5129988369770803
85123;Bernhard;22;0.5130045580564823
85124;Bernhard;63;0.5130102790014684
85125;Bernhard;26;0.5130159998120434
85126;Bernhard;23;0.5130217204882117
85127;Magdalena;37;0.5130156940137205
85128;Bernhard;27;0.5130214145590809
85129;Magdalena;29;0.5130153882297662
85130;Bernhard;51;0.5130211086443246
85131;Magdalena;61;0.5130150824601795
85132;Magdalena;56;0.5130090564176054
85133;Magdalena;23;0.5130030305165973
85134;Bernhard;59;0.5130087508075409
85135;Bernhard;52;0.5130144709641045
85136;Magdalena;80;0.5130084452118351
85137;Bernhard;54;0.5130141652376142
85138;Magdalena;24;0.5130081396304866
85139;Bernhard;84;0.5130138595254874
85140;Magdalena;13;0.5130078340634947
85141;Bernhard;46;0.5130135538277231
85142;Magdalena;36;0.5130075285108582
85143;Bernhard;30;0.5130132481443203
85144;Bernhard;13;0.5130189676434318
85145;Bernhard;40;0.5130246870081977
85146;Bernhard;53;0.5130304062386226
85147;Bernhard;36;0.5130361253347113
85148;Bernhard;151;0.5130418442964686
85149;Magdalena;93;0.5130358191426894
85150;Magdalena;24;0.5130297941304272
85151;Magdalena;39;0.5130237692596769
85152;Bernhard;39;0.5130294880978944
85153;Magdalena;13;0.5130234633722432
85154;Bernhard;71;0.5130291820797369
85155;Magdalena;45;0.5130231574991779
85156;Magdalena;20;0.5130171330601125
85157;Bernhard;68;0.51302285164048
85158;Bernhard;15;0.513028570086544
85159;Bernhard;36;0.5130342883983091
85160;Magdalena;22;0.5130282641115065
85161;Magdalena;21;0.5130222399661821
85162;Magdalena;68;0.513016215962331
85163;Bernhard;16;0.5130219341505801
85164;Bernhard;13;0.5130276522045442
85165;Magdalena;113;0.5130216283493413
85166;Magdalena;28;0.5130156046355983
85167;Magdalena;63;0.5130095810633102
85168;Magdalena;26;0.513003557632472
85169;Bernhard;50;0.513009275566514
85170;Bernhard;21;0.5130149933662866
85171;Bernhard;70;0.5130207110317945
85172;Bernhard;31;0.5130264285630423
85173;Bernhard;88;0.5130321459600348
85174;Magdalena;20;0.5130261226885823
85175;Bernhard;14;0.5130318399549169
85176;Magdalena;42;0.5130258168284866
85177;Magdalena;51;0.5130197938434807
85178;Bernhard;23;0.513025510982754
85179;Bernhard;34;0.5130312279877906
85180;Bernhard;125;0.5130369448585952
85181;Magdalena;133;0.51303092202578
85182;Bernhard;51;0.513036638765951
85183;Bernhard;24;0.5130423553719008
85184;Magdalena;24;0.5130363326876798
85185;Magdalena;13;0.5130303101448594
85186;Bernhard;83;0.5130360266237807
85187;Magdalena;20;0.5130300042259474
85188;Bernhard;63;0.5130357205742525
85189;Bernhard;84;0.5130414367883555
85190;Magdalena;36;0.5130354145390945
85191;Magdalena;47;0.5130293924312141
85192;Magdalena;22;0.5130233704647096
85193;Magdalena;35;0.5130173486395756
85194;Magdalena;64;0.5130113269558073
85195;Magdalena;43;0.5130053054133997
85196;Bernhard;73;0.5130110215148421
85197;Bernhard;98;0.5130167374821005
85198;Bernhard;27;0.5130224533151797
85199;Bernhard;112;0.5130281690140845
85200;Magdalena;26;0.5130221476273753
85201;Magdalena;29;0.5130161263820098
85202;Bernhard;77;0.5130218419539219
85203;Bernhard;12;0.5130275573916717
85204;Magdalena;34;0.5130215362948184
85205;Bernhard;34;0.5130272516019999
85206;Magdalena;26;0.513021230650064
85207;Magdalena;31;0.5130152098394517
85208;Magdalena;64;0.513009189170158
85209;Bernhard;24;0.513014904353949
85210;Magdalena;38;0.5130088838295526
85211;Bernhard;30;0.5130145988827864
85212;Bernhard;15;0.5130203138018847
85213;Magdalena;29;0.5130142934259628
85214;Bernhard;47;0.5130200082145162
85215;Magdalena;37;0.5130139879834773
85216;Magdalena;44;0.5130079678937302
85217;Magdalena;55;0.5130019479452698
85218;Magdalena;14;0.5129959281380913
85219;Bernhard;44;0.5130016428068529
85220;Bernhard;57;0.5130073573415004
85221;Bernhard;56;0.5130130717420385
85222;Bernhard;17;0.5130187860084718
85223;Bernhard;40;0.5130245001408054
85224;Bernhard;19;0.5130302141390437
85225;Magdalena;39;0.5130241944946378
85226;Magdalena;24;0.5130181749914933
85227;Bernhard;14;0.513023888862815
85228;Bernhard;27;0.5130296026000539
85229;Magdalena;11;0.5130235832453361
85230;Magdalena;36;0.5130175640318664
85231;Magdalena;49;0.5130115449596395
85232;Bernhard;31;0.5130172585735572
85233;Bernhard;20;0.513022972053406
85234;Magdalena;32;0.513016953129583
85235;Bernhard;16;0.5130226664789526
85236;Bernhard;27;0.5130283796942642
85237;Magdalena;15;0.513022360918839
85238;Bernhard;19;0.5130280740036838
85239;Bernhard;24;0.5130337869544814
85240;Magdalena;40;0.513027768327448
85241;Bernhard;60;0.513033481147791
85242;Bernhard;19;0.5130391938340978
85243;Bernhard;50;0.5130449063863732
85244;Bernhard;22;0.513050618804622
85245;Magdalena;39;0.5130446003331535
85246;Bernhard;65;0.513050312620972
85247;Bernhard;70;0.5130560247747747
85248;Magdalena;54;0.5130500064516886
85249;Bernhard;30;0.5130557184750734
85250;Bernhard;67;0.5130614303644532
85251;Bernhard;54;0.513067142119833
85252;Magdalena;88;0.5130611239487174
85253;Bernhard;62;0.5130668355736975
85254;Bernhard;39;0.5130725470646883
85255;Bernhard;14;0.5130782584216946
85256;Bernhard;43;0.5130839696447212
85257;Magdalena;87;0.5130779516291726
85258;Magdalena;58;0.5130719337547942
85259;Magdalena;13;0.513065916021581
85260;Bernhard;11;0.5130716271214272
85261;Magdalena;13;0.513065609532969
85262;Magdalena;20;0.5130595920856643
85263;Magdalena;21;0.5130535747795083
85264;Bernhard;29;0.513059285756172
85265;Bernhard;28;0.5130649965988788
85266;Magdalena;38;0.5130589794410498
85267;Bernhard;80;0.5130646901533987
85268;Bernhard;17;0.5130704007318017
85269;Magdalena;31;0.5130643837222939
85270;Magdalena;18;0.5130583668539128
85271;Magdalena;29;0.5130523501266535
85272;Bernhard;27;0.5130580605818958
85273;Magdalena;25;0.5130520439993433
85274;Magdalena;126;0.513046027557901
85275;Magdalena;49;0.5130400112575637
85276;Bernhard;51;0.5130457215896431
85277;Bernhard;50;0.5130514317877999
85278;Bernhard;45;0.5130571418520387
85279;Magdalena;23;0.5130511257035647
85280;Magdalena;40;0.5130451096961809
85281;Magdalena;21;0.513039093829882
85282;Magdalena;18;0.5130330781046633
85283;Bernhard;22;0.513038788049341
85284;Magdalena;26;0.5130327724687811
85285;Bernhard;80;0.5130384822831414
85286;Bernhard;43;0.5130441919636053
85287;Magdalena;17;0.5130381765312823
85288;Bernhard;25;0.5130438860814408
85289;Magdalena;59;0.5130378707937625
85290;Magdalena;30;0.5130318556471375
85291;Magdalena;37;0.5130258406415608
85292;Bernhard;15;0.5130315500685871
85293;Bernhard;90;0.513037259361737
85294;Magdalena;22;0.5130312445043672
85295;Magdalena;19;0.5130252297880322
85296;Bernhard;111;0.5130309389544767
85297;Bernhard;14;0.5130366479870572
85298;Magdalena;24;0.5130306334189146
